pypsa_id,voltage,bus0,bus1,length_km,reasons_unmatched
way/92913327-2-220,220,way/207756597-220,way/54359256-220,5.67815,Unknown (may be duplicate path or parallel circuit)
relation/1225767-220-a,220,way/92024105-220,way/91854336-220,5.527189999999999,Unknown (may be duplicate path or parallel circuit)
way/152924506-220,220,DE174-220,way/152924508-220,5.5182,Unknown (may be duplicate path or parallel circuit)
merged_way/61733762-2-220+2,220,DE89-220,DE86-220,5.179180000000001,Unknown (may be duplicate path or parallel circuit)
relation/2147236-220-b,220,way/154869247-220,way/395847307-220,5.00542,Unknown (may be duplicate path or parallel circuit)
merged_way/79174511-2-220+4,220,DE93-220,way/23380800-220,4.82995,Unknown (may be duplicate path or parallel circuit)
way/284698723-220,220,way/24667346-220,way/698870101-220,4.56708,Unknown (may be duplicate path or parallel circuit)
way/169244947-220,220,way/169244940-220,way/23641079-220,4.359520000000001,Unknown (may be duplicate path or parallel circuit)
merged_way/87106532-220+5,220,DE100-220,way/63114179-220,4.1408000000000005,Unknown (may be duplicate path or parallel circuit)
merged_way/60869542-2-220+1,220,way/113546939-220,DE100-220,4.1035200000000005,Unknown (may be duplicate path or parallel circuit)
way/257482750-220,220,DE23-220,way/940636813-220,3.82934,Unknown (may be duplicate path or parallel circuit)
merged_way/109195942-1-220+2,220,way/24839976-220,DE131-220,3.76113,Unknown (may be duplicate path or parallel circuit)
merged_way/191254576-220+2,220,way/24267175-220,DE125-220,3.73227,No nearby JAO lines
way/243380065-220,220,way/28227099-220,way/97857512-220,3.65802,Unknown (may be duplicate path or parallel circuit)
merged_way/42920875-2-220+2,220,way/1303270458-220,way/23022100-220,3.60944,Unknown (may be duplicate path or parallel circuit)
relation/1109616-220,220,way/24921206-220,way/150267232-220,3.43115,Unknown (may be duplicate path or parallel circuit)
relation/1109619-220,220,way/24921206-220,way/150267232-220,3.43115,Unknown (may be duplicate path or parallel circuit)
way/145129282-220,220,way/207248812-220,way/156676050-220,3.2388600000000003,Unknown (may be duplicate path or parallel circuit)
relation/1641722-220,220,way/23641079-220,DE160-220,3.23791,Unknown (may be duplicate path or parallel circuit)
merged_way/107686849-220+1,220,DE81-220,DE82-220,3.00686,No nearby JAO lines
way/1293441403-220,220,DE204-220,DE206-220,2.93106,Unknown (may be duplicate path or parallel circuit)
way/32950166-2-220,220,DE22-220,DE23-220,2.86031,Unknown (may be duplicate path or parallel circuit)
way/33548105-1-220,220,way/37764852-220,DE38-220,2.84958,Unknown (may be duplicate path or parallel circuit)
way/24840438-2-220,220,way/24839976-220,way/188276460-220,2.78517,Unknown (may be duplicate path or parallel circuit)
merged_way/24841695-220+1,220,way/24839976-220,way/188276460-220,2.7770799999999998,Unknown (may be duplicate path or parallel circuit)
way/22762380-220,220,way/1118059105-220,DE126-220,2.6705799999999997,No nearby JAO lines
merged_way/109507318-2-220+1,220,DE80-220,way/1076001174-220,2.6554,Unknown (may be duplicate path or parallel circuit)
